id,year,State,new_agi_stub,Returns,Single,Joint,Hd_of_Hshld,AGI_Amt,Std_Ded_Charity_Returns,Std_Ded_Charity_Amt,Std_Ded_Returns,Std_Ded_Amt,Itemized_Ded_Returns,Itemized_Ded_Amt,Charitable_Returns,Charitable_Amt
172,2012,NV,5.0,114500.0,,91410.0,4770.0,15204398.0,,,,,79500.0,2109453.0,70150.0,276608.0
173,2012,NV,6.0,32250.0,,25030.0,1130.0,23619896.0,,,,,28010.0,2780733.0,25300.0,510863.0
174,2012,NH,1.0,235870.0,,28010.0,22870.0,2778109.0,,,,,18530.0,299763.0,10590.0,11954.0
175,2012,NH,2.0,154630.0,,40110.0,20880.0,5625186.0,,,,,35640.0,555539.0,22430.0,31251.0
176,2012,NH,3.0,96650.0,,50570.0,8480.0,5961282.0,,,,,42170.0,730540.0,29640.0,49073.0
177,2012,NH,4.0,66200.0,,49650.0,3180.0,5741596.0,,,,,38960.0,765206.0,29570.0,55722.0
178,2012,NH,5.0,92070.0,,78910.0,2680.0,12504670.0,,,,,71250.0,1695074.0,60570.0,155866.0
179,2012,NH,6.0,25080.0,,22050.0,560.0,11766089.0,,,,,23300.0,1152494.0,21440.0,194386.0
180,2012,NJ,1.0,1489900.0,,162380.0,265370.0,17719178.0,,,,,154180.0,2527476.0,98380.0,126235.0
181,2012,NJ,2.0,895610.0,,205030.0,198490.0,32559358.0,,,,,262170.0,4528447.0,200110.0,361148.0
182,2012,NJ,3.0,569690.0,,214180.0,88440.0,35109127.0,,,,,303080.0,5923370.0,250440.0,521773.0
183,2012,NJ,4.0,390570.0,,228070.0,41150.0,33884999.0,,,,,276780.0,6261509.0,239820.0,556537.0
184,2012,NJ,5.0,641500.0,,513570.0,31100.0,88055998.0,,,,,572750.0,16730657.0,517620.0,1464897.0
185,2012,NJ,6.0,259370.0,,229470.0,6300.0,131077849.0,,,,,256290.0,20294855.0,238890.0,2301886.0
186,2012,NM,1.0,391950.0,,56940.0,86950.0,4859444.0,,,,,21220.0,306164.0,12400.0,21118.0
187,2012,NM,2.0,220440.0,,70270.0,52080.0,7902976.0,,,,,43980.0,653468.0,29180.0,62317.0
188,2012,NM,3.0,112170.0,,59910.0,13760.0,6902874.0,,,,,44650.0,775489.0,32880.0,88749.0
189,2012,NM,4.0,67920.0,,48680.0,4560.0,5896919.0,,,,,36280.0,709814.0,28840.0,96420.0
190,2012,NM,5.0,77210.0,,64320.0,2660.0,10355910.0,,,,,56950.0,1374098.0,48800.0,222038.0
191,2012,NM,6.0,19000.0,,16100.0,470.0,8821361.0,,,,,17940.0,979181.0,16270.0,215728.0
192,2012,NY,1.0,3677650.0,,485320.0,703410.0,43871428.0,,,,,237190.0,3720574.0,152290.0,231120.0
193,2012,NY,2.0,2073940.0,,474250.0,472840.0,75284440.0,,,,,541420.0,8760895.0,419030.0,861841.0
194,2012,NY,3.0,1218410.0,,446840.0,194480.0,74930754.0,,,,,624450.0,11391686.0,518210.0,1186437.0
195,2012,NY,4.0,775980.0,,423050.0,85180.0,67225062.0,,,,,554760.0,11793385.0,472470.0,1174892.0
196,2012,NY,5.0,1067870.0,,771800.0,59970.0,145291944.0,,,,,958290.0,28027559.0,862890.0,2690113.0
197,2012,NY,6.0,413720.0,,326330.0,11170.0,304729704.0,,,,,408720.0,52624489.0,380210.0,9486407.0
198,2012,NC,1.0,1762100.0,,253260.0,439950.0,22398322.0,,,,,137520.0,1978856.0,98780.0,219322.0
199,2012,NC,2.0,1072670.0,,341040.0,249560.0,38319562.0,,,,,289110.0,4300164.0,225020.0,638216.0
200,2012,NC,3.0,540390.0,,317880.0,52580.0,33217908.0,,,,,279120.0,4885408.0,231870.0,776316.0
201,2012,NC,4.0,334620.0,,261880.0,15150.0,28955142.0,,,,,234770.0,4695578.0,204160.0,770391.0
202,2012,NC,5.0,397760.0,,345030.0,10190.0,53492004.0,,,,,352560.0,9195771.0,321210.0,1537680.0
203,2012,NC,6.0,119640.0,,107030.0,2200.0,55844992.0,,,,,117850.0,8013405.0,111730.0,1649157.0
204,2012,ND,1.0,119560.0,,11650.0,12680.0,1493255.0,,,,,4890.0,78782.0,2880.0,5457.0
205,2012,ND,2.0,84270.0,,21200.0,10270.0,3062658.0,,,,,10430.0,152647.0,5970.0,14078.0
206,2012,ND,3.0,51230.0,,29150.0,3240.0,3191701.0,,,,,11350.0,181659.0,7150.0,21569.0
207,2012,ND,4.0,36820.0,,28810.0,1120.0,3236040.0,,,,,10870.0,192469.0,7750.0,26217.0
208,2012,ND,5.0,43800.0,,37610.0,830.0,6219727.0,,,,,20030.0,413188.0,15980.0,71196.0
209,2012,ND,6.0,12980.0,,11040.0,220.0,7440854.0,,,,,10150.0,505958.0,8960.0,133791.0
210,2012,OH,1.0,2173040.0,,260560.0,386290.0,26422542.0,,,,,118650.0,1651372.0,72760.0,131135.0
211,2012,OH,2.0,1390290.0,,375570.0,221580.0,50522247.0,,,,,312030.0,3990127.0,207030.0,437002.0
212,2012,OH,3.0,780340.0,,391750.0,68730.0,47915239.0,,,,,352440.0,5300152.0,263110.0,641329.0
213,2012,OH,4.0,469010.0,,339510.0,20660.0,40543998.0,,,,,285220.0,5139310.0,231670.0,656101.0
214,2012,OH,5.0,496630.0,,411380.0,12730.0,66155426.0,,,,,412510.0,9649562.0,363160.0,1355176.0
215,2012,OH,6.0,133910.0,,114820.0,2640.0,67413304.0,,,,,130110.0,8547330.0,121720.0,1745836.0
216,2012,OK,1.0,638160.0,,103820.0,131240.0,8066667.0,,,,,34560.0,509817.0,22160.0,57366.0
217,2012,OK,2.0,407020.0,,147180.0,77170.0,14649807.0,,,,,74080.0,1108873.0,51550.0,169207.0
218,2012,OK,3.0,220260.0,,135860.0,19900.0,13563411.0,,,,,80010.0,1364978.0,60390.0,235979.0
219,2012,OK,4.0,134140.0,,106920.0,6080.0,11630342.0,,,,,69470.0,1346608.0,56380.0,256537.0
220,2012,OK,5.0,147960.0,,128590.0,3630.0,19972616.0,,,,,111850.0,2736795.0,97150.0,571269.0
221,2012,OK,6.0,43050.0,,37240.0,880.0,25296254.0,,,,,41140.0,3162014.0,38000.0,855816.0
222,2012,OR,1.0,671520.0,,103860.0,99190.0,8386061.0,,,,,69110.0,1050825.0,45070.0,76570.0
223,2012,OR,2.0,421550.0,,145290.0,62230.0,15238156.0,,,,,119490.0,1867628.0,84810.0,176643.0
224,2012,OR,3.0,248990.0,,141080.0,19040.0,15345339.0,,,,,140180.0,2542449.0,108930.0,258315.0
